aoa,cl,ma,re
13.62087987,1.3799423,0.141243689,215776.5081
13.78401127,1.4921589,0.143012909,366890.6142
12.08550925,1.377544,0.14806428,354740.9292
13.53984879,1.5395241,0.145952448,297614.9883
13.10289782,1.4925213,0.146177271,270523.616
13.44396188,1.4966473,0.149145519,272186.0841
13.32693995,1.5960236,0.143208494,337376.6056
16.57669048,1.5766122,0.144482807,264132.7322
19.86348209,1.4111426,0.148497898,293593.0048
19.39882889,1.1531467,0.142400893,273735.4734
0.227696994,0.38652144,0.148899822,252291.9251
15.27950507,1.6304393,0.145763834,421892.5678
19.12702733,1.6216248,0.144449339,387103.8079
17.74843355,1.5601136,0.145298723,432871.425
16.00501465,1.5276688,0.14131905,352458.4043
17.29354327,1.3465243,0.142098292,264438.4962
16.24976959,1.3019098,0.141882201,226545.3426
12.44630417,1.446216,0.147230552,419224.1033
19.2265838,1.5133984,0.149331272,318965.5983
12.77383044,1.4957312,0.149254619,370698.727
19.48089911,1.337869,0.146060795,337129.4122
19.16870983,1.412405,0.144587286,422508.3197
16.75671653,1.4975173,0.14861982,349982.1734
16.45927587,1.5163899,0.142680279,356123.3845
15.12818561,1.5514096,0.146024749,360040.3066
13.69406981,1.4875505,0.143262599,364991.6566
3.149942924,0.69611887,0.144914675,238188.1242
16.42679383,1.4601131,0.145746436,232316.5654
17.71882769,1.447696,0.146243713,214620.5533
18.41910696,1.2561875,0.149057956,372324.9244
12.3266028,1.4231025,0.142245857,412380.7326
14.70131126,1.5523968,0.147194176,390935.5012
16.44214091,1.5898166,0.146761616,232553.501
18.14802278,1.358314,0.147175845,241859.4914
18.63809694,1.4004204,0.143982235,425259.6233
14.44585734,1.3800325,0.146556591,236343.5045
17.73092594,1.6386614,0.147654337,335805.5785
13.77179517,1.46609,0.144431734,365438.1213
19.27871878,1.2307602,0.14236724,300646.568
15.60728858,1.3764784,0.145118714,215344.2843
18.04306291,1.369096,0.147739968,345980.9096
16.85475782,1.4728684,0.145867705,321703.5944
0.058113106,0.38707471,0.142622705,413674.4685
12.77543995,1.4297441,0.14236081,229692.3392
17.09442486,1.5051097,0.143323699,351981.5993
17.53290161,1.3627211,0.147754661,361231.0285
15.9444349,1.5800325,0.143194912,323218.6289
19.54420211,1.5440589,0.145978788,377644.5802
6.662181591,1.0197344,0.14451817,387472.9729
19.61343489,1.4350988,0.141989004,431280.1675
12.92629722,1.4617226,0.14420667,288121.3786
16.33755732,1.5258077,0.146398995,399881.1208
19.24975509,1.2723643,0.145924398,250245.7553
18.73630158,1.6066492,0.145128764,412679.289
17.05167959,1.4916635,0.146394193,225248.6533
18.65610489,1.3356518,0.142925847,241813.2875
12.34215635,1.4356784,0.144817403,358335.8609
15.64564774,1.3870894,0.141713741,210372.4839
4.245344219,0.84966233,0.146625545,296242.7376
1.457006358,0.54683648,0.144413484,230455.4633
18.23755003,1.3854623,0.141786454,396044.2671
18.45044944,1.4133955,0.147050282,388313.4512
17.39127816,1.3894168,0.145463466,312518.0685
15.39181288,1.4317668,0.148475702,282790.0791
13.90580231,1.468092,0.14836395,401482.9734
17.65863581,1.3600208,0.145613176,257893.0816
14.01098482,1.5363837,0.146388804,311548.1043
16.30964596,1.5235807,0.149313079,325013.3397
18.88307792,1.6455705,0.14554859,419360.2353
12.57700196,1.422504,0.147375336,206930.492
19.75471513,1.0267811,0.146676594,399763.1654
16.31228472,1.6373819,0.141347709,348595.0123
4.693767869,0.85636273,0.144636506,347723.2054
18.74556175,1.4137196,0.141935719,267740.8588
13.79880218,1.5347831,0.14684545,378611.1259
19.21591299,1.3619936,0.147944993,262387.939
17.48346068,1.6284736,0.141920727,421175.2344
12.32536519,1.401665,0.145385556,365207.8985
0.27658214,0.41647349,0.141471361,300530.0456
15.58362497,1.4259813,0.147777727,270993.6443
16.7797519,1.5240196,0.143309761,225966.2945
12.08266636,1.4125685,0.142530103,240396.9786
16.82049149,1.6033575,0.146544934,427739.0584
